Date,TwoEngine_70_30,Engine1_Carry,Engine2_Directional,SP500_SPY,NASDAQ_QQQ,60_40_SPY_AGG,BTC_Overlay_30pct
2018-03-28,972029.6001812944,991210.624163949,926727.7838368504,1015625.2702916187,1026966.5717708692,1004177.7893606785,1113660.9952767745
2018-03-29,974181.4440181021,994288.5978886269,926851.5845781941,1028602.4315459239,1045775.3758196447,1013040.7656226541,1080635.3799477967
2018-04-02,971885.3231280262,990714.6001401446,927346.9529499742,1006400.5728348115,1015603.1879620294,999516.1200636575,1077681.2134268002
2018-04-03,969995.2178972561,987905.4163149509,927470.8364055697,1019299.3179682161,1027031.8833943253,1006753.4555227595,1094774.207418592
2018-04-04,972411.5809014804,991364.540920104,927594.7364106459,1030205.2166711462,1043228.2225048543,1013367.5080248977,1068347.3454488656
2018-04-05,972432.5690535132,991338.350309868,927718.6529674137,1038335.3866241213,1049171.580239365,1017596.4752384227,1066465.929994339
2018-04-06,974359.5411363305,994087.9305532164,927842.5860780842,1015195.2268612032,1022917.4607847203,1004905.5537314944,1058338.7147501996
2018-04-09,973492.3646668126,992653.3636460576,928214.4847556279,1020198.4446145591,1030101.4248626983,1008215.6498818704,1065386.1464603432
2018-04-10,972821.4653913719,991619.2397645842,928338.4841040266,1036419.9466649218,1052828.9263188436,1017532.4890145874,1068508.3326927756
2018-04-11,973118.3367324614,991994.7639207301,928462.500017388,1030987.0220310257,1046755.1550055536,1014674.7002348345,1074872.262492267
2018-04-12,972762.6813389973,991420.0349752237,928586.5324979251,1039468.8866034907,1059359.4596600605,1018773.1101813302,1117589.1742778865
2018-04-13,972535.4185485377,991032.3856716749,928710.5815478511,1036419.9466649218,1053873.702626009,1017094.5951032682,1117978.8421138683
2018-04-16,972473.061207285,990766.5988537665,929082.8281360988,1044941.2548827496,1061906.6129748505,1022188.4244493247,1125509.2885605278
2018-04-17,971613.9578247651,989459.4974657302,929206.9434857182,1056120.7013241688,1084764.6328438413,1028864.721107329,1119053.9388751152
2018-04-18,970104.626211113,987207.0579427736,929331.075415797,1056902.4393740739,1086984.5990369515,1028166.3033596769,1130261.056871293
2018-04-19,970959.8296516559,988393.7953584293,929455.2239285499,1051039.2693798377,1076992.549652558,1023740.3495262911,1135803.4229075427
2018-04-20,973633.8173028827,992225.7790108742,929579.3890261924,1042126.6209672322,1059947.4739392984,1017414.36348961,1158566.8144978264
2018-04-23,970576.8260756747,987606.606264136,929951.983850614,1041970.5291351562,1057269.8022116625,1017130.9921406233,1162266.0616284786
2018-04-24,967868.3856145327,983612.9735304194,930076.2153099732,1027938.014782482,1034868.8588727982,1008374.6976585689,1192305.1653667965
2018-04-25,969395.0611401367,985773.1026616053,930200.4633653027,1030478.7644096351,1036109.6748843986,1009336.3409118565,1160999.5665142136
2018-04-26,969637.6134835635,986069.0222721404,930324.7280188195,1040954.2831322749,1057922.2894418247,1016180.3022197735,1178266.5028975555
2018-04-27,970041.234924135,986598.9404933944,930449.0092727409,1041931.7585895435,1058575.720178586,1017252.0914037715,1167162.379198674
2018-04-30,969467.080334835,985594.6721431264,930821.952659111,1033918.6406831315,1051065.197983327,1012634.9375906843,1177517.7702284732
2018-05-01,969506.9799623669,985596.1920912728,930946.3003368304,1035755.7318314054,1063082.1173629945,1013369.7584175854,1172981.5502304155
2018-05-02,967909.0196298193,983219.080145548,931070.6646260456,1028797.9670233624,1056812.5160134027,1009285.3271800082,1177602.697329096
2018-05-03,966131.0259629813,980582.6207400272,931195.0455289757,1026530.6305147484,1056681.7879324239,1008409.2307880663,1197141.9171374755
2018-05-04,968670.4217647922,984208.4522824003,931319.4430478401,1039820.9177728557,1076730.8838224672,1016509.5657598595,1195665.2484205556
2018-05-07,969093.8802466431,984653.7313045667,931692.7353222381,1043338.4697575275,1085678.4714018947,1018380.7955238249,1183928.0012591262
2018-05-08,968627.9716545781,983921.0870704156,931817.1993270399,1043338.4697575275,1084568.3834712731,1017918.7723373524,1178802.1978964268
2018-05-09,968049.0277186158,983024.6343629363,931941.6799588775,1053423.59062504,1096388.9486443058,1023360.1528507142,1182372.6763750548
2018-05-10,969398.3732505532,984925.8105560543,932066.1772199721,1063273.3958198756,1107752.5421212786,1030031.9769223476,1171785.4453300657
